Boids()
Step 313, 0 has arrived, 0 collisions
Step 314, 0 has arrived, 0 collisions
Step 315, 0 has arrived, 0 collisions
Step 316, 0 has arrived, 0 collisions
Step 317, 0 has arrived, 0 collisions
Step 318, 0 has arrived, 0 collisions
Step 319, 0 has arrived, 0 collisions
Step 320, 0 has arrived, 0 collisions
Step 321, 0 has arrived, 0 collisions
Step 322, 0 has arrived, 0 collisions
Step 323, 0 has arrived, 0 collisions
Step 324, 0 has arrived, 0 collisions
Step 325, 0 has arrived, 0 collisions
Step 326, 0 has arrived, 0 collisions
Step 327, 0 has arrived, 0 collisions
Step 328, 0 has arrived, 0 collisions
Step 329, 0 has arrived, 0 collisions
Step 330, 0 has arrived, 0 collisions
Step 331, 0 has arrived, 0 collisions
Step 332, 0 has arrived, 0 collisions
Step 333, 0 has arrived, 0 collisions
Step 334, 0 has arrived, 0 collisions
Step 335, 0 has arrived, 0 collisions
Step 336, 0 has arrived, 0 collisions
Step 337, 0 has arrived, 0 collisions
Step 338, 0 has arrived, 0 collisions
Step 339, 0 has arrived, 0 collisions
Step 340, 0 has arrived, 0 collisions
Step 341, 0 has arrived, 0 collisions
Step 342, 0 has arrived, 0 collisions
Step 343, 0 has arrived, 0 collisions
Step 344, 0 has arrived, 0 collisions
Step 345, 0 has arrived, 0 collisions
Step 346, 0 has arrived, 0 collisions
Step 347, 0 has arrived, 0 collisions
Step 348, 0 has arrived, 0 collisions
Step 349, 0 has arrived, 0 collisions
Step 350, 0 has arrived, 0 collisions
Step 351, 0 has arrived, 0 collisions
Step 352, 0 has arrived, 0 collisions
Step 353, 0 has arrived, 0 collisions
Step 354, 0 has arrived, 0 collisions
Step 355, 0 has arrived, 0 collisions
Step 356, 0 has arrived, 0 collisions
Step 357, 0 has arrived, 0 collisions
Step 358, 0 has arrived, 0 collisions
Step 359, 0 has arrived, 0 collisions
Step 360, 0 has arrived, 0 collisions
Step 361, 0 has arrived, 0 collisions
Step 362, 0 has arrived, 0 collisions
Step 363, 0 has arrived, 0 collisions
Step 364, 0 has arrived, 0 collisions
Step 365, 0 has arrived, 0 collisions
Step 366, 0 has arrived, 0 collisions
Step 367, 0 has arrived, 0 collisions
Step 368, 0 has arrived, 0 collisions
Step 369, 0 has arrived, 0 collisions
Step 370, 0 has arrived, 0 collisions
Step 371, 0 has arrived, 0 collisions
Step 372, 0 has arrived, 0 collisions
Step 373, 0 has arrived, 0 collisions
Step 374, 0 has arrived, 0 collisions
Step 375, 0 has arrived, 0 collisions
Step 376, 0 has arrived, 0 collisions
Step 377, 0 has arrived, 0 collisions
Step 378, 0 has arrived, 0 collisions
Step 379, 0 has arrived, 0 collisions
Step 380, 0 has arrived, 0 collisions
Step 381, 0 has arrived, 0 collisions
Step 382, 0 has arrived, 0 collisions
Step 383, 0 has arrived, 0 collisions
Step 384, 0 has arrived, 0 collisions
Step 385, 0 has arrived, 0 collisions
Step 386, 0 has arrived, 0 collisions
Step 387, 0 has arrived, 0 collisions
Step 388, 0 has arrived, 0 collisions
Step 389, 0 has arrived, 0 collisions
Step 390, 0 has arrived, 0 collisions
Step 391, 0 has arrived, 0 collisions
Step 392, 0 has arrived, 0 collisions
Step 393, 0 has arrived, 0 collisions
Step 394, 0 has arrived, 0 collisions
Step 395, 0 has arrived, 0 collisions
Step 396, 0 has arrived, 0 collisions
Step 397, 0 has arrived, 0 collisions
Step 398, 0 has arrived, 0 collisions
Step 399, 0 has arrived, 0 collisions
Step 400, 0 has arrived, 0 collisions
Step 401, 0 has arrived, 0 collisions
Step 402, 0 has arrived, 0 collisions
Step 403, 0 has arrived, 0 collisions
Step 404, 0 has arrived, 0 collisions
Step 405, 0 has arrived, 0 collisions
Step 406, 0 has arrived, 0 collisions
Step 407, 0 has arrived, 0 collisions
Step 408, 0 has arrived, 0 collisions
Step 409, 0 has arrived, 0 collisions
Step 410, 0 has arrived, 0 collisions
Step 411, 0 has arrived, 0 collisions
Step 412, 0 has arrived, 0 collisions
Step 413, 0 has arrived, 0 collisions
Step 414, 0 has arrived, 0 collisions
Step 415, 0 has arrived, 0 collisions
